site_id,province,region,down_duration,latitude,longitude
ST-4666,Agusan Del Norte,Caraga Region (Region XIII),19:01.5,9.020715,125.517469
ST-3659,Agusan Del Norte,Caraga Region (Region XIII),19:00.0,9.1182,125.5354
ST-3424,Agusan Del Norte,Caraga Region (Region XIII),19:05.1,8.9518,125.5412
ST-3070,Agusan Del Norte,Caraga Region (Region XIII),18:23.7,9.1238,125.5378
ST-3345,Agusan Del Sur,Caraga Region (Region XIII),49:28.6,8.60956,125.91535
ST-3476,Agusan del Sur,Caraga Region (Region XIII),16:04.8,8.5458,125.9412
ST-2671,Aklan,Western Visayas (Region VI),43:38.7,11.9817,121.9133
ST-3231,Aklan,Western Visayas (Region VI),18:58.0,11.7045,122.3659
ST-3038,Aklan,Western Visayas (Region VI),41:11.5,11.9492,121.939
ST-3393,Aklan,Western Visayas (Region VI),14:11.2,11.7103,122.2949
ST-1330,Albay,Bicol Region (Region V),46:20.2,13.14904,123.75298
ST-2112,Albay,Bicol Region (Region V),44:37.8,13.2928,123.79168
ST-3233,Albay,Bicol Region (Region V),51:43.2,13.1536,123.7108
ST-3484,Antique,Western Visayas (Region VI),41:58.5,11.1439,122.0413
ST-3485,Antique,Western Visayas (Region VI),48:03.7,11.5909,122.096
ST-3129,Antique,Western Visayas (Region VI),28:17.1,11.1947377,122.0375
ST-2854,Antique,Western Visayas (Region VI),03:34.4,11.7198,122.095
ST-1916,Antique,Western Visayas (Region VI),37:57.3,10.7463,121.94139
ST-2469,Antique,Western Visayas (Region VI),42:10.7,10.7879,122.0182
ST-4508,Bataan,Central Luzon (Region III),10:26.1,14.559249,120.595394
ST-4318,Bataan,Central Luzon (Region III),02:52.0,14.8796,120.4618
ST-4438,Bataan,Central Luzon (Region III),19:14.2,14.79327,120.5384
ST-4818,Bataan,Central Luzon (Region III),08:11.8,14.703067,120.537791
ST-1786,Bataan,Central Luzon (Region III),48:47.9,14.64665,120.53851
ST-0970,Bataan,Central Luzon (Region III),39:23.7,14.80092,120.5364
ST-3191,Bataan,Central Luzon (Region III),36:01.6,14.4909,120.6009
ST-4595,Batangas,CALABARZON (Region IV-A),59:20.9,13.82688,120.9929
ST-3463,Batangas,CALABARZON (Region IV-A),22:53.6,13.7799,121.0676
ST-1488,Batangas,CALABARZON (Region IV-A),19:03.7,13.94251,121.13623
ST-3511,Batangas,CALABARZON (Region IV-A),19:04.6,13.7599,121.0631
ST-2905,Batangas,CALABARZON (Region IV-A),22:19.9,14.01747,121.09528
ST-3270,Batangas,CALABARZON (Region IV-A),44:41.8,13.7917,120.9907243
ST-4640,Batangas,CALABARZON (Region IV-A),19:06.0,13.93979,120.77517
ST-3196,Batangas,CALABARZON (Region IV-A),24:59.1,13.9458,120.7301
ST-3108,Batangas,CALABARZON (Region IV-A),04:04.6,14.1007,121.0987
ST-0465,Batangas,CALABARZON (Region IV-A),48:43.7,13.8804,120.9231
ST-0951,Batangas,CALABARZON (Region IV-A),40:48.8,14.0659,121.2078
ST-3195,Batangas,CALABARZON (Region IV-A),49:29.5,13.8798,120.6407
ST-4431,Batangas,CALABARZON (Region IV-A),18:55.1,13.9735845,121.2020389
ST-3260,Batangas,CALABARZON (Region IV-A),46:17.1,13.8317,120.6315
ST-3269,Batangas,CALABARZON (Region IV-A),46:01.9,13.7883,120.9825
ST-3478,Batangas,CALABARZON (Region IV-A),19:03.2,13.8152,121.3988
ST-4632,Batangas,CALABARZON (Region IV-A),20:16.1,14.092648,121.016304
ST-3920,Batangas,CALABARZON (Region IV-A),21:46.1,13.882106,120.920171
ST-1850,Benguet,Cordillera Administrative Region (CAR),09:48.5,16.4186849,120.5987
ST-4383,Bohol,Central Visayas (Region VII),17:27.1,10.324615,123.94989
ST-2820,Bohol,Central Visayas (Region VII),05:03.8,9.64217,123.8542
ST-3586,Bohol,Central Visayas (Region VII),23:39.0,10.057,124.4729
ST-2366,Bukidnon,Northern Mindanao (Region X),18:57.4,8.16061,125.1218
ST-4813,Bukidnon,Northern Mindanao (Region X),41:58.5,8.361361,124.812066
ST-3255,Bukidnon,Northern Mindanao (Region X),47:21.3,7.8312,124.8288
ST-4924,Bukidnon,Northern Mindanao (Region X),49:49.5,7.997476,125.024623
ST-3419,Bulacan,Central Luzon (Region III),18:53.4,14.8282,120.8846
ST-0789,Bulacan,Central Luzon (Region III),18:53.7,14.8566,120.813
ST-1575,Bulacan,Central Luzon (Region III),51:43.2,14.849,121.0495
ST-3596,Bulacan,Central Luzon (Region III),41:58.5,14.86,120.9906
ST-1885,Bulacan,Central Luzon (Region III),48:03.7,14.76152,120.94847
ST-2265,Bulacan,Central Luzon (Region III),28:17.1,14.86479,120.95759
ST-3387,Bulacan,Central Luzon (Region III),03:34.4,14.8435,120.8109
ST-3068,Bulacan,Central Luzon (Region III),37:57.3,14.8306,120.9448
ST-3595,Bulacan,Central Luzon (Region III),42:10.7,14.9057,121.0389
ST-4703,Bulacan,Central Luzon (Region III),10:26.1,15.057363,120.938447
ST-3378,Bulacan,Central Luzon (Region III),02:52.0,14.840192,120.7421
ST-4706,Bulacan,Central Luzon (Region III),19:14.2,14.92268635,121.029295
ST-4253,Bulacan,Central Luzon (Region III),08:11.8,14.812258,121.07644
ST-1163,Bulacan,Central Luzon (Region III),48:47.9,14.8095,121.0578
ST-1739,Bulacan,Central Luzon (Region III),39:23.7,14.7885,121.07444
ST-3099,Bulacan,Central Luzon (Region III),36:01.6,14.846,120.8344
ST-3343,Bulacan,Central Luzon (Region III),59:20.9,14.8364,120.7874
ST-3621,Bulacan,Central Luzon (Region III),22:53.6,14.816334,120.9097
ST-3092,Bulacan,Central Luzon (Region III),19:03.7,14.8081,121.0426
ST-3540,Bulacan,Central Luzon (Region III),19:04.6,14.8583,120.859
ST-0743,Bulacan,Central Luzon (Region III),22:19.9,14.86595,120.99638
ST-3553,Bulacan,Central Luzon (Region III),49:29.5,14.9763,120.9182
ST-3700,Bulacan,Central Luzon (Region III),18:55.1,14.841927,121.036775
