site_id,province,latitude,longitude
ST-3375,Surigao del Sur,9.0387,126.2173
ST-3991,Cebu,10.316942,123.90195
ST-3345,Agusan Del Sur,8.60956,125.91535
ST-3293,Cavite,14.3523718,120.901
ST-3461,Metro Manila,14.7467,120.996
ST-3419,Bulacan,14.8282,120.8846
ST-4002,Pangasinan,16.156828,119.977558
ST-4620,Ilo-Ilo,10.878308,122.597901
ST-3686,Camarines Norte,14.111221,122.955915
ST-0789,Bulacan,14.8566,120.813
ST-1997,Rizal,14.54613,121.3652
ST-2620,South Cotabato,6.12713,125.17129
ST-2423,Misamis Oriental,8.4832,124.65138
ST-1848,Metro Manila,14.56736,121.02773
ST-3665,Nueva Ecija,15.351438,120.93901
ST-0627,Metro Manila,14.55391,121.0221
ST-3868,Metro Manila,14.637146,120.993896
ST-5231,,0,0
ST-4069,Pampanga,15.016863,120.748203
ST-2141,Metro Manila,14.57565,120.98753
ST-1797,Cebu,10.3107,124.0138
ST-2284,Davao Del Sur,7.032,125.5135
ST-2039,Cavite,14.1875,120.75665
ST-0569,Cavite,14.4507,120.9286
ST-0037,Metro Manila,14.72193,121.03886
ST-1197,Negros Occidental,10.7991,122.9758
ST-2906,Misamis Oriental,8.4993,124.6232
ST-4383,Bohol,10.324615,123.94989
ST-3600,Nueva Vizcaya,16.365265,121.098414
ST-3432,Laguna,14.26491,121.437887
ST-4595,Batangas,13.82688,120.9929
ST-1234,Metro Manila,14.5698,120.98618
ST-0167,Metro Manila,14.5616,121.0281
ST-0033,Metro Manila,14.61766,120.99502
ST-3614,Laguna,14.3386,121.4827
ST-3591,Metro Manila,14.5439532,121.0651
ST-2671,Aklan,11.9817,121.9133
ST-3564,Pangasinan,16.0153,120.3555
ST-0494,Laguna,14.17278,121.24316
ST-4727,,0,0
ST-4807,,0,0
ST-2093,Pampanga,15.14971,120.5842
ST-5065,,0,0
ST-3049,Cavite,14.1834,120.9609
ST-3550,Metro Manila,14.5812,120.9946
ST-4666,Agusan Del Norte,9.020715,125.517469
ST-4506,Pangasinan,16.16568,119.9849
ST-0742,Metro Manila,14.6025,120.9905
ST-3325,Metro Manila,14.4147,121.0384
ST-2452,Metro Manila,14.6094,120.99282
ST-4330,Misamis Occidental,8.41212,123.82374
ST-4441,Rizal,14.584195,121.111608
ST-3520,Negros Oriental,9.2478,123.2947
ST-3549,Rizal,14.7464,121.141
ST-3463,Batangas,13.7799,121.0676
ST-0365,Metro Manila,14.53543,121.0474
ST-3334,Laguna,14.3006,121.1076
ST-2449,Negros Oriental,10.11934,123.27197
ST-1691,Cavite,14.38515,120.97687
ST-1475,Iloilo,10.7162,122.56216
ST-5028,,0,0
ST-1150,Rizal,14.5229,121.26558
ST-1575,Bulacan,14.849,121.0495
ST-4934,,0,0
ST-4823,,0,0
ST-5258,,0,0
ST-5345,,0,0
ST-1771,Cavite,14.36254,120.89548
ST-4784,Zamboanga del Norte,8.605062,123.347845
ST-1830,Laguna,14.34322,121.04483
ST-1740,Metro Manila,14.58933,120.99692
ST-4525,Metro Manila,14.65783,121.0456
ST-1619,Iloilo,10.69203,122.4773
ST-4080,Rizal,14.57455512,121.1084235
ST-1889,Metro Manila,14.69549,121.10944
ST-1929,Pampanga,15.08593,120.6662
ST-4857,Davao de Oro,7.546495,126.024347
ST-2015,Iloilo,10.76819,122.5365
ST-1709,Metro Manila,14.60114,121.05435
ST-3209,Metro Manila,14.5637,121.0164
ST-5110,Metro Manila,14.60894,120.98306
ST-1599,Metro Manila,14.60013,120.97513
ST-0570,Metro Manila,14.6004,121.04768
ST-3440,Metro Manila,14.5609,120.9971
ST-4508,Bataan,14.559249,120.595394
ST-5101,,0,0
ST-1834,Davao Del Sur,7.0585,125.6013
ST-4411,Davao Del Sur,7.096971899,125.6176926
ST-1846,Davao Del Sur,7.0978,125.61937
ST-4895,,0,0
ST-3439,Metro Manila,14.5578,120.9903
ST-2383,Davao Del Sur,7.05346,125.59772
ST-2366,Bukidnon,8.16061,125.1218
ST-2144,Metro Manila,14.5602,121.0631
ST-4603,Pampanga,15.23898,120.5794
ST-1694,Metro Manila,14.65774,121.0298
ST-3318,Lanao Del Norte,8.1859,124.164
